Subrun Event Type ystart yend ydiff length Eng Michel
207 10333 Pion 90.5711 83.5715 6.99953 29.5022 0.35516 0
207 10334 Pion -37.5077 -38.5823 1.07466 5.03161 0.234324 0
207 10335 Pion 89.2045 38.2977 50.9068 130.826 0.489671 0
207 10335 Pion 87.6521 89.6088 1.95675 5.24619 0.489671 0
207 10337 Pion 81.9698 76.9825 4.98727 62.5475 1.83965 0
207 10339 Pion -66.3324 -9.48869 56.8437 72.3801 0.85726 0
207 10341 Pion 44.4468 -67.2009 111.648 113.873 0.884936 0
207 10342 Pion -19.0101 3.97744 22.9876 69.8493 1.65968 0
207 10343 Pion 84.9225 42.4559 42.4666 47.0741 0.951758 0
207 10344 Pion 59.1459 110.768 51.6223 58.8806 0.613322 0
207 10345 Pion 21.0274 78.4775 57.4501 105.105 1.26748 0
207 10346 Pion 90.0718 55.7483 34.3234 40.6651 1.55669 0
207 10347 Pion -19.6087 -44.7406 25.1319 28.5159 1.02237 0
207 10348 Pion 45.0512 46.6951 1.64392 7.26169 0.182917 0
207 10350 Pion 7.48709 18.4808 10.9937 22.4778 0.649085 0
228 11351 Pion -77.9485 -80.8897 2.94117 15.5271 0.387505 0
228 11354 Pion -61.4157 -37.6942 23.7215 83.9725 0.580301 0
228 11357 Pion -58.0465 -46.913 11.1335 27.1095 0.247811 0
228 11359 Pion 101.359 29.751 71.6084 78.6887 1.58836 0
228 11366 Pion 107.121 110.261 3.14024 9.15878 0.933331 0
228 11367 Pion 82.6191 117.494 34.8747 40.1999 1.30769 0
228 11368 Pion 67.4845 31.5541 35.9304 36.8901 0.89392 0
228 11369 Pion -24.2615 8.70545 32.967 180.527 1.35398 0
228 11370 Pion 66.5855 117.464 50.8782 67.2331 0.404408 0
228 11372 Pion -20.1309 -28.8794 8.74846 28.719 0.360676 0
228 11375 Pion 39.1115 71.8292 32.7177 66.9227 1.32476 0
228 11377 Pion 35.5973 42.1119 6.51457 12.3358 0.200619 0
228 11379 Pion -21.4083 -30.8721 9.46378 51.0121 0.416355 0
228 11379 Pion -21.1521 -19.4755 1.67664 8.86497 0.416355 0
228 11380 Pion -25.7078 -33.5915 7.88364 16.33 1.35692 0
228 11381 Pion 56.1064 58.8835 2.7771 39.9252 0.32412 0
228 11383 Pion 28.3054 32.2707 3.96532 5.49485 1.61833 0
228 11384 Pion 86.5731 83.2299 3.34317 13.6329 0.972555 0
228 11385 Pion -84.1776 -84.7309 0.553299 3.49377 0.183607 0
228 11385 Pion -83.0373 -82.5048 0.532524 1.95961 0.183607 0
228 11386 Pion -18.0278 -46.1379 28.1101 70.106 1.54938 0
228 11388 Pion -37.103 -26.6971 10.4059 11.3118 1.6779 0
228 11390 Pion 52.6446 51.8144 0.830189 3.56005 0.610074 0
228 11391 Pion 40.2722 49.086 8.81381 19.183 0.325758 0
