Subrun Event Type process ystart yend ydiff length Eng Michel
367 18303 Muon 1 119.185 70.4676 48.7176 103.25 1.84502 0
367 18304 Muon 1 66.6313 48.5298 18.1015 177.651 0.726957 0
367 18305 Muon 1 117.482 86.1826 31.299 45.4481 0.971449 0
367 18306 Muon 1 -115.324 37.304 152.628 270.297 1.50973 0
367 18308 Muon 1 38.2341 65.0953 26.8613 47.5583 1.54704 0
367 18309 Muon 1 14.1318 -48.557 62.6888 91.7196 0.709471 0
367 18310 Muon 1 4.5126 117.394 112.881 178.573 0.537198 0
367 18311 Muon 1 -67.5131 -115.352 47.8386 65.4067 1.42218 0
367 18314 Muon 1 -37.0465 -114.865 77.8187 133.853 1.14892 0
367 18314 Muon 1 -37.519 -37.7067 0.187679 1.25614 1.14892 0
367 18315 Muon 1 -86.4254 117.353 203.778 340.03 1.46356 0
367 18315 Muon 1 -82.6006 -81.0557 1.54488 2.17125 1.46356 0
367 18316 Muon 1 74.326 65.5868 8.73927 10.809 0.154598 0
367 18317 Muon 1 104.089 60.3956 43.6932 78.3702 0.613954 0
367 18317 Muon 1 105.138 102.014 3.12478 3.84561 0.613954 0
367 18319 Muon 1 -3.32964 117.113 120.442 191.108 1.56579 0
367 18320 Muon 1 -37.1101 82.9868 120.097 138.984 0.444923 0
367 18321 Muon 1 -11.5271 -115.405 103.878 234.65 1.8402 0
367 18322 Muon 1 2.3952 -89.3458 91.741 308.736 1.24709 0
367 18323 Muon 1 18.0025 109.085 91.0829 125.645 1.76898 0
367 18324 Muon 1 -99.9999 -49.8149 50.1851 83.4115 0.826685 0
367 18325 Muon 1 114.026 -64.9208 178.947 196.073 1.44002 0
367 18326 Muon 1 13.5304 2.40474 11.1256 11.8423 0.155922 0
367 18327 Muon 1 49.8835 41.4569 8.42658 24.7209 0.311499 0
367 18328 Muon 1 56.4582 61.6716 5.21338 171.428 1.73977 0
367 18329 Muon 1 21.9594 34.3292 12.3697 433.443 1.1323 0
367 18330 Muon 1 42.0088 47.2833 5.27448 183.709 1.63107 0
367 18331 Muon 1 65.796 85.6413 19.8453 26.5993 1.26038 0
367 18332 Muon 1 93.425 117.499 24.0735 30.8735 0.214182 0
367 18333 Muon 1 46.8238 67.6484 20.8246 36.5832 0.222513 0
367 18334 Muon 1 -23.2073 -115.323 92.1161 145.956 1.52895 0
367 18334 Muon 1 -27.4417 -18.1159 9.32579 12.1747 1.52895 0
367 18335 Muon 1 86.1652 76.1511 10.0141 37.504 0.730015 0
367 18338 Muon 1 52.848 119.442 66.5938 91.0357 1.87277 0
367 18339 Muon 1 117.438 76.5068 40.9314 123.436 1.85858 0
367 18339 Muon 1 76.6003 75.2031 1.39715 3.84433 1.85858 0
367 18344 Muon 1 -4.88872 -82.3534 77.4647 115.597 1.2851 0
367 18345 Muon 1 -10.4761 -10.4564 0.0197229 15.4191 0.175545 0
367 18346 Muon 1 71.7544 78.9365 7.18209 10.8331 0.255464 0
367 18348 Muon 1 15.2224 4.6302 10.5922 118.196 1.43182 0
367 18350 Muon 1 22.4505 117.451 95.0009 116.269 0.58335 0
368 18352 Muon 1 50.3073 86.1134 35.8061 474.363 1.19171 0
368 18352 Muon 1 46.8301 47.3982 0.568169 4.79342 1.19171 0
368 18353 Muon 1 48.1928 86.8023 38.6095 143.677 1.78624 0
368 18354 Muon 1 -6.28767 -78.5586 72.271 111.513 0.373321 0
368 18354 Muon 1 -63.2875 -82.0676 18.7801 21.4481 0.373321 0
368 18355 Muon 1 -43.2563 -16.3344 26.9219 202.142 1.79668 0
368 18356 Muon 1 -77.4152 -73.8517 3.56345 498.433 1.74927 0
368 18356 Muon 1 -76.1181 -76.7017 0.583572 1.32713 1.74927 0
368 18357 Muon 1 -4.10525 -49.1864 45.0811 123.1 1.71105 0
368 18359 Muon 1 -52.0133 90.6913 142.705 359.361 1.40108 0
368 18361 Muon 1 95.4258 117.272 21.8462 21.9257 0.342718 0
368 18362 Muon 1 -66.8251 -69.1915 2.36641 8.38222 0.124364 0
368 18363 Muon 1 -26.8346 49.1217 75.9563 304.186 1.62336 0
368 18368 Muon 1 106.007 117.549 11.5419 17.1062 1.92077 0
368 18369 Muon 1 16.1274 -41.7388 57.8662 93.0547 1.74885 0
368 18370 Muon 1 66.6689 10.1146 56.5543 87.5075 1.91117 0
368 18371 Muon 1 14.1942 -115.316 129.511 132.078 0.831098 0
